Time,BLOCK1:ZONE3::Des Heat Load [W],BLOCK1:ZONE3:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE3::Des Heat Mass Flow [kg/s],BLOCK1:ZONE3:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE1::Des Heat Load [W],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE1::Des Heat Mass Flow [kg/s],BLOCK1:ZONE1:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s],BLOCK1:ZONE2::Des Heat Load [W],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Sens Cool Load [W],BLOCK1:ZONE2::Des Heat Mass Flow [kg/s],BLOCK1:ZONE2:SUMMER DESIGN DAY IN UNTITLED (01-01:31-12) JUL:Des Cool Mass Flow [kg/s]
00:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
01:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
02:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
03:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
04:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
05:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
06:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
07:30:00,0.000000E+00,4.158659E+01,0.000000E+00,2.945769E-03,0.000000E+00,5.441445E+02,0.000000E+00,3.839236E-02,0.000000E+00,6.349980E+02,0.000000E+00,4.472419E-02
08:00:00,0.000000E+00,1.113031E+02,0.000000E+00,7.832676E-03,0.000000E+00,1.195717E+03,0.000000E+00,8.407976E-02,0.000000E+00,1.346798E+03,0.000000E+00,9.463601E-02
08:30:00,0.000000E+00,1.562003E+02,0.000000E+00,1.095163E-02,0.000000E+00,1.387089E+03,0.000000E+00,9.728554E-02,0.000000E+00,1.521827E+03,0.000000E+00,1.067354E-01
09:00:00,0.000000E+00,1.929715E+02,0.000000E+00,1.353271E-02,0.000000E+00,1.538207E+03,0.000000E+00,1.079094E-01,0.000000E+00,1.676266E+03,0.000000E+00,1.175911E-01
09:30:00,0.000000E+00,2.301650E+02,0.000000E+00,1.614199E-02,0.000000E+00,1.655507E+03,0.000000E+00,1.161318E-01,0.000000E+00,1.783340E+03,0.000000E+00,1.250947E-01
10:00:00,0.000000E+00,2.640217E+02,0.000000E+00,1.851728E-02,0.000000E+00,1.758603E+03,0.000000E+00,1.233535E-01,0.000000E+00,1.895846E+03,0.000000E+00,1.329758E-01
10:30:00,0.000000E+00,2.965700E+02,0.000000E+00,2.080059E-02,0.000000E+00,1.866172E+03,0.000000E+00,1.308960E-01,0.000000E+00,2.016250E+03,0.000000E+00,1.414204E-01
11:00:00,0.000000E+00,3.280613E+02,0.000000E+00,2.300947E-02,0.000000E+00,1.970989E+03,0.000000E+00,1.382492E-01,0.000000E+00,2.131158E+03,0.000000E+00,1.494829E-01
11:30:00,0.000000E+00,3.479425E+02,0.000000E+00,2.440377E-02,0.000000E+00,2.026310E+03,0.000000E+00,1.421301E-01,0.000000E+00,2.200227E+03,0.000000E+00,1.543286E-01
12:00:00,0.000000E+00,3.648826E+02,0.000000E+00,2.559115E-02,0.000000E+00,2.063371E+03,0.000000E+00,1.447270E-01,0.000000E+00,2.254891E+03,0.000000E+00,1.581600E-01
12:30:00,0.000000E+00,3.889534E+02,0.000000E+00,2.727832E-02,0.000000E+00,2.119732E+03,0.000000E+00,1.486751E-01,0.000000E+00,2.332561E+03,0.000000E+00,1.636024E-01
13:00:00,0.000000E+00,4.110340E+02,0.000000E+00,2.882604E-02,0.000000E+00,2.168480E+03,0.000000E+00,1.520894E-01,0.000000E+00,2.411127E+03,0.000000E+00,1.691078E-01
13:30:00,0.000000E+00,4.401506E+02,0.000000E+00,3.086727E-02,0.000000E+00,2.245882E+03,0.000000E+00,1.575146E-01,0.000000E+00,2.544713E+03,0.000000E+00,1.784735E-01
14:00:00,0.000000E+00,4.674824E+02,0.000000E+00,3.278390E-02,0.000000E+00,2.317044E+03,0.000000E+00,1.625054E-01,0.000000E+00,2.710172E+03,0.000000E+00,1.900787E-01
14:30:00,0.000000E+00,4.831564E+02,0.000000E+00,3.388356E-02,0.000000E+00,2.342995E+03,0.000000E+00,1.643281E-01,0.000000E+00,2.862979E+03,0.000000E+00,2.008011E-01
15:00:00,0.000000E+00,4.961689E+02,0.000000E+00,3.479664E-02,0.000000E+00,2.354710E+03,0.000000E+00,1.651527E-01,0.000000E+00,3.025495E+03,0.000000E+00,2.122057E-01
15:30:00,0.000000E+00,5.061994E+02,0.000000E+00,3.550042E-02,0.000000E+00,2.358477E+03,0.000000E+00,1.654185E-01,0.000000E+00,3.181832E+03,0.000000E+00,2.231750E-01
16:00:00,0.000000E+00,5.131098E+02,0.000000E+00,3.598502E-02,0.000000E+00,2.362812E+03,0.000000E+00,1.657227E-01,0.000000E+00,3.315997E+03,0.000000E+00,2.325854E-01
16:30:00,0.000000E+00,4.991352E+02,0.000000E+00,3.500471E-02,0.000000E+00,2.300051E+03,0.000000E+00,1.613205E-01,0.000000E+00,3.355699E+03,0.000000E+00,2.353677E-01
17:00:00,0.000000E+00,4.819755E+02,0.000000E+00,3.380037E-02,0.000000E+00,2.226423E+03,0.000000E+00,1.561537E-01,0.000000E+00,3.359026E+03,0.000000E+00,2.355954E-01
17:30:00,0.000000E+00,2.409513E+02,0.000000E+00,1.689723E-02,0.000000E+00,1.109996E+03,0.000000E+00,7.784999E-02,0.000000E+00,1.692349E+03,0.000000E+00,1.186959E-01
18:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
18:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
19:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
19:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
20:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
20:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
21:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
22:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
23:30:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
24:00:00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00
Peak,0.000000E+00,5.131098E+02,0.000000E+00,3.598502E-02,0.000000E+00,2.362812E+03,0.000000E+00,1.657227E-01,0.000000E+00,3.359026E+03,0.000000E+00,2.355954E-01

Peak Vol Flow (m3/s),,,0.000000E+00,3.043901E-02,,,0.000000E+00,1.401815E-01,,,0.000000E+00,1.992855E-01
